 PROGRESSO (Official Music Video),Alesso ,0,31
 Happy Now ft,Kygo ,32,56
 Morning After (Official Video),dvsn ,57,77
 We Live Forever (Live at Alexandra Palace),The Prodigy ,78,97
 Emoji (Official Music Video),Galantis ,98,114
 Light Up the Sky (Lyric Video),The Prodigy ,115,134
 Piece Of Your Heart (Official Video) ft,Meduza ,135,150
" Me, Myself & I ft",Blonde ,151,170
 Light It Up ft,Marshmello ,171,187
 I Saw Her Last Summer,"Goldie, James Davidson, Subjective ",188,216
 Till The World Falls (Lyric Video) ft,"Nile Rodgers, CHIC ",217,239
 Waiting For Tomorrow (Official Video),Martin Garrix & Pierce Fulton feat. Mike Shinoda ,240,264
 Mistaken (Official Video),"Martin Garrix, Matisse & Sadko feat. Alex Aris ",265,293
 Fire In My Soul (Official Video) ft,Oliver Heldens ,294,314
 Move Me (Official Video) ft,Mura Masa ,315,336
 REMEDY (Official Music Video),Alesso ,337,366
 Breach (Walk Alone) (Official Video),Martin Garrix & Blinders ,367,384
 Desperate,"Jonas Blue, Nina Nesbitt ",385,402
 Trouble (Official Video) ft,Bakermat ,403,422
 Karaoke feat,Big Freedia ,423,444
